order,id,date,time,title,url,visitCount,typedCount,transition
0,30678,1/12/2022,19:40:52,Export your data from Chrome - Google Chrome Help,https://support.google.com/chrome/answer/10248834?hl=en,4,0,link
1,32544,1/12/2022,19:40:49,Manage your exports,https://takeout.google.com/settings/takeout/downloads?user=107102772335030444354&rapt=AEjHL4NBNQ5Fe_Gk60q8ipBtoCC9uUtviT-jBNG9xHsAdPT2aY5vg8JGbqu_dsAoqi4eU8pIQQHs0KJ0fvUJIAi_27K3KXUjrA,1,0,link
2,32543,1/12/2022,19:40:49,Manage your exports,https://takeout.google.com/settings/takeout/downloads?user=107102772335030444354&rapt=AEjHL4NBNQ5Fe_Gk60q8ipBtoCC9uUtviT-jBNG9xHsAdPT2aY5vg8JGbqu_dsAoqi4eU8pIQQHs0KJ0fvUJIAi_27K3KXUjrA#i=0&j=1b71387b-c843-4cd7-836e-5f748a6df8ad,2,0,link
3,32543,1/12/2022,19:40:47,Manage your exports,https://takeout.google.com/settings/takeout/downloads?user=107102772335030444354&rapt=AEjHL4NBNQ5Fe_Gk60q8ipBtoCC9uUtviT-jBNG9xHsAdPT2aY5vg8JGbqu_dsAoqi4eU8pIQQHs0KJ0fvUJIAi_27K3KXUjrA#i=0&j=1b71387b-c843-4cd7-836e-5f748a6df8ad,2,0,link
4,32541,1/12/2022,19:40:44,Manage your exports,https://takeout.google.com/settings/takeout/downloads?pli=1&rapt=AEjHL4NBNQ5Fe_Gk60q8ipBtoCC9uUtviT-jBNG9xHsAdPT2aY5vg8JGbqu_dsAoqi4eU8pIQQHs0KJ0fvUJIAi_27K3KXUjrA,1,0,link
5,32540,1/12/2022,19:40:44,Manage your exports,https://takeout.google.com/settings/takeout/downloads?pli=1&rapt=AEjHL4NBNQ5Fe_Gk60q8ipBtoCC9uUtviT-jBNG9xHsAdPT2aY5vg8JGbqu_dsAoqi4eU8pIQQHs0KJ0fvUJIAi_27K3KXUjrA#i=0&j=1b71387b-c843-4cd7-836e-5f748a6df8ad,2,0,link
6,32502,1/12/2022,19:40:44,How to download your Google data - Google Account Help,https://support.google.com/accounts/answer/3024190#zippy=,5,0,link
7,32540,1/12/2022,19:40:42,Manage your exports,https://takeout.google.com/settings/takeout/downloads?pli=1&rapt=AEjHL4NBNQ5Fe_Gk60q8ipBtoCC9uUtviT-jBNG9xHsAdPT2aY5vg8JGbqu_dsAoqi4eU8pIQQHs0KJ0fvUJIAi_27K3KXUjrA#i=0&j=1b71387b-c843-4cd7-836e-5f748a6df8ad,2,0,link
8,32532,1/12/2022,19:40:35,Sign in - Google Accounts,https://accounts.google.com/signin/v2/challenge/pwd?continue=https%3A%2F%2Ftakeout.google.com%2Fsettings%2Ftakeout%2Fdownload%3Fj%3D1b71387b-c843-4cd7-836e-5f748a6df8ad%26i%3D0%26pli%3D1&osid=1&rart=ANgoxccQiqPhhSaT9Ox1YO4TO_SZQVdWYfiUp-Bz5vKRx-GatcYy2so05VSRdi67DBtHl8bZur1w6V_AY_NVpi510yZNr1DBeg&TL=AM3QAYZpIn1kNnKL1XqQxLIWRw0fxm5r7lFBSdsU3e4ciyk51w9iZi92-p5QuMXk&flowName=GlifWebSignIn&cid=1&flowEntry=ServiceLogin,1,0,link
9,32531,1/12/2022,19:40:34,Sign in - Google Accounts,https://accounts.google.com/signin/v2/challenge/pwd?continue=https%3A%2F%2Ftakeout.google.com%2Fsettings%2Ftakeout%2Fdownload%3Fj%3D1b71387b-c843-4cd7-836e-5f748a6df8ad%26i%3D0%26pli%3D1&osid=1&rart=ANgoxccQiqPhhSaT9Ox1YO4TO_SZQVdWYfiUp-Bz5vKRx-GatcYy2so05VSRdi67DBtHl8bZur1w6V_AY_NVpi510yZNr1DBeg&TL=AM3QAYZpIn1kNnKL1XqQxLIWRw0fxm5r7lFBSdsU3e4ciyk51w9iZi92-p5QuMXk&flowName=GlifWebSignIn&cid=1,2,0,link
10,32531,1/12/2022,19:40:32,Sign in - Google Accounts,https://accounts.google.com/signin/v2/challenge/pwd?continue=https%3A%2F%2Ftakeout.google.com%2Fsettings%2Ftakeout%2Fdownload%3Fj%3D1b71387b-c843-4cd7-836e-5f748a6df8ad%26i%3D0%26pli%3D1&osid=1&rart=ANgoxccQiqPhhSaT9Ox1YO4TO_SZQVdWYfiUp-Bz5vKRx-GatcYy2so05VSRdi67DBtHl8bZur1w6V_AY_NVpi510yZNr1DBeg&TL=AM3QAYZpIn1kNnKL1XqQxLIWRw0fxm5r7lFBSdsU3e4ciyk51w9iZi92-p5QuMXk&flowName=GlifWebSignIn&cid=1,2,0,link
11,32524,1/12/2022,19:40:26,Your Google data is ready to download - safwan8000@gmail.com - Gmail,https://mail.google.com/mail/u/0/#inbox/FMfcgzGmtNjLMNQFCqTXFgtgzWmdhvrT,1,0,link
12,32523,1/12/2022,19:40:17,geogebra - Google Search,https://www.google.com/search?q=geogebra&rlz=1C1CHWA_enIN911IN911&sxsrf=AOaemvK5unYBk835HOga5_b2HEj3NPP5SQ:1641996612158&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi5uaiGsqz1AhXiSmwGHXgWDHQQ_AUoAXoECAIQAw&biw=1366&bih=625&dpr=1,2,0,link
13,32523,1/12/2022,19:40:15,geogebra - Google Search,https://www.google.com/search?q=geogebra&rlz=1C1CHWA_enIN911IN911&sxsrf=AOaemvK5unYBk835HOga5_b2HEj3NPP5SQ:1641996612158&source=lnms&tbm=isch&sa=X&ved=2ahUKEwi5uaiGsqz1AhXiSmwGHXgWDHQQ_AUoAXoECAIQAw&biw=1366&bih=625&dpr=1,2,0,link
14,32522,1/12/2022,19:40:12,geogebra - Google Search,https://www.google.com/search?q=geogebra&rlz=1C1CHWA_enIN911IN911&oq=geoge&aqs=chrome.2.69i57j0i67i433j0i433i512j0i67l2j0i512j0i433i512j0i512l2j0i131i433i512.3050j0j4&sourceid=chrome&ie=UTF-8,2,0,link
15,32522,1/12/2022,19:40:11,geogebra - Google Search,https://www.google.com/search?q=geogebra&rlz=1C1CHWA_enIN911IN911&oq=geoge&aqs=chrome.2.69i57j0i67i433j0i433i512j0i67l2j0i512j0i433i512j0i512l2j0i131i433i512.3050j0j4&sourceid=chrome&ie=UTF-8,2,0,generated
16,32521,1/12/2022,19:39:39,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj/related?hl=en,1,0,link
17,32520,1/12/2022,19:38:57,Export Chrome History - Chrome Web Store,"https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj?hl=en#:~:text=Export%20Chrome%20History&text=Export%20your%20Chrome%20History%20as,History%20to%20use%20the%20extension.",1,0,link
18,32519,1/12/2022,19:38:53,download search history as csv file - Google Search,https://www.google.com/search?q=download+search+history+as+csv+file&rlz=1C1CHWA_enIN911IN911&oq=download+search+history+as+&aqs=chrome.1.69i57j33i160l2.10069j0j4&sourceid=chrome&ie=UTF-8,2,0,link
19,32519,1/12/2022,19:38:53,download search history as csv file - Google Search,https://www.google.com/search?q=download+search+history+as+csv+file&rlz=1C1CHWA_enIN911IN911&oq=download+search+history+as+&aqs=chrome.1.69i57j33i160l2.10069j0j4&sourceid=chrome&ie=UTF-8,2,0,generated
20,3546,1/12/2022,19:38:20,"Inbox (2,418) - safwan8000@gmail.com - Gmail",https://mail.google.com/mail/u/0/#inbox,46,0,link
21,32518,1/12/2022,19:38:03,Reminder to Apply for the Job at QuEST Global - safwan8000@gmail.com - Gmail,https://mail.google.com/mail/u/0/#inbox/FMfcgzGmtNjLCmVZFMnGXfWdNMVZpnvh,1,0,link
22,3546,1/12/2022,19:37:53,"Inbox (2,418) - safwan8000@gmail.com - Gmail",https://mail.google.com/mail/u/0/#inbox,46,0,link
23,32515,1/12/2022,19:36:12,Microsoft Search with Bing - Why can't I seem to download my - Microsoft Community,https://answers.microsoft.com/en-us/education_ms/forum/all/microsoft-search-with-bing-why-cant-i-seem-to/6b8bce65-fcbd-4984-90be-4b1188e05a27,2,0,link
24,32515,1/12/2022,19:36:12,Microsoft Search with Bing - Why can't I seem to download my - Microsoft Community,https://answers.microsoft.com/en-us/education_ms/forum/all/microsoft-search-with-bing-why-cant-i-seem-to/6b8bce65-fcbd-4984-90be-4b1188e05a27,2,0,link
25,32514,1/12/2022,19:36:08,search history csv file - Google Search,https://www.google.com/search?q=search+history+csv+file&rlz=1C1CHWA_enIN911IN911&sxsrf=AOaemvIb0p3OPgOop85Hz2u5iUsYoZdKGg%3A1641996361224&ei=SeDeYdKkDcTH4-EPtaCcoA4&oq=search+history+csv+&gs_lcp=Cgdnd3Mtd2l6EAMYADIFCCEQoAEyBQghEKABOgcIABBHELADOgQIIxAnOgYIABAWEB46CAgAEAgQDRAeOgUIABCABDoKCAAQgAQQhwIQFDoICAAQgAQQsQM6BQgAEJECOggIABCxAxCRAkoECEEYAEoECEYYAFC1A1j8GGCWI2gBcAJ4AIAB0wGIAeIMkgEGMC4xMS4xmAEAoAEByAEIwAEB&sclient=gws-wiz,2,0,link
26,32514,1/12/2022,19:36:07,search history csv file - Google Search,https://www.google.com/search?q=search+history+csv+file&rlz=1C1CHWA_enIN911IN911&sxsrf=AOaemvIb0p3OPgOop85Hz2u5iUsYoZdKGg%3A1641996361224&ei=SeDeYdKkDcTH4-EPtaCcoA4&oq=search+history+csv+&gs_lcp=Cgdnd3Mtd2l6EAMYADIFCCEQoAEyBQghEKABOgcIABBHELADOgQIIxAnOgYIABAWEB46CAgAEAgQDRAeOgUIABCABDoKCAAQgAQQhwIQFDoICAAQgAQQsQM6BQgAEJECOggIABCxAxCRAkoECEEYAEoECEYYAFC1A1j8GGCWI2gBcAJ4AIAB0wGIAeIMkgEGMC4xMS4xmAEAoAEByAEIwAEB&sclient=gws-wiz,2,0,form_submit
27,32513,1/12/2022,19:36:00,search history document - Google Search,https://www.google.com/search?q=search+history+document&rlz=1C1CHWA_enIN911IN911&sxsrf=AOaemvLSqitewgOpLKwRuQNRPMMtznW0QQ%3A1641996330569&ei=KuDeYceYIqSN4-EPlJKnsAg&oq=search+history+docum&gs_lcp=Cgdnd3Mtd2l6EAMYADIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIICAAQCBANEB46BwgAEEcQsAM6BAgjECc6BwgjEOoCECc6BwguEOoCECc6BQgAEJECOgQIABBDOggIABCABBCxAzoLCC4QgAQQsQMQgwE6CAguEIAEELEDOggIABCxAxCDAToHCAAQsQMQQzoECC4QQzoFCC4QgAQ6BQgAEIAEOg0IABCABBCHAhCxAxAUOgoIABCABBCHAhAUSgQIQRgASgQIRhgAULIWWNOAAWCliAFoB3ACeAmAAecEiAGgJJIBCDAuMjkuNS0xmAEAoAEBsAEKyAEIwAEB&sclient=gws-wiz,2,0,link
28,32513,1/12/2022,19:36:00,search history document - Google Search,https://www.google.com/search?q=search+history+document&rlz=1C1CHWA_enIN911IN911&sxsrf=AOaemvLSqitewgOpLKwRuQNRPMMtznW0QQ%3A1641996330569&ei=KuDeYceYIqSN4-EPlJKnsAg&oq=search+history+docum&gs_lcp=Cgdnd3Mtd2l6EAMYADIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIICAAQCBANEB46BwgAEEcQsAM6BAgjECc6BwgjEOoCECc6BwguEOoCECc6BQgAEJECOgQIABBDOggIABCABBCxAzoLCC4QgAQQsQMQgwE6CAguEIAEELEDOggIABCxAxCDAToHCAAQsQMQQzoECC4QQzoFCC4QgAQ6BQgAEIAEOg0IABCABBCHAhCxAxAUOgoIABCABBCHAhAUSgQIQRgASgQIRhgAULIWWNOAAWCliAFoB3ACeAmAAecEiAGgJJIBCDAuMjkuNS0xmAEAoAEBsAEKyAEIwAEB&sclient=gws-wiz,2,0,form_submit
29,32512,1/12/2022,19:35:30,fake browser history csv file - Google Search,https://www.google.com/search?q=fake+browser+history+csv+file&rlz=1C1CHWA_enIN911IN911&sxsrf=AOaemvKdX58_qlSm_9F4hHc_U8zsPNrM7w%3A1641996323342&ei=I-DeYfSoFLSY4-EP8f-P6Ac&ved=0ahUKEwi0xsz8sKz1AhU0zDgGHfH_A30Q4dUDCA4&uact=5&oq=fake+browser+history+csv+file&gs_lcp=Cgdnd3Mtd2l6EAM6BwgAEEcQsAM6BwgjELACECc6BAgjECdKBAhBGABKBAhGGABQwQNY1x5g0CJoAnACeAGAAdYBiAGkC5IBBTAuOS4xmAEAoAEByAEIwAEB&sclient=gws-wiz,2,0,link
30,32512,1/12/2022,19:35:29,fake browser history csv file - Google Search,https://www.google.com/search?q=fake+browser+history+csv+file&rlz=1C1CHWA_enIN911IN911&sxsrf=AOaemvKdX58_qlSm_9F4hHc_U8zsPNrM7w%3A1641996323342&ei=I-DeYfSoFLSY4-EP8f-P6Ac&ved=0ahUKEwi0xsz8sKz1AhU0zDgGHfH_A30Q4dUDCA4&uact=5&oq=fake+browser+history+csv+file&gs_lcp=Cgdnd3Mtd2l6EAM6BwgAEEcQsAM6BwgjELACECc6BAgjECdKBAhBGABKBAhGGABQwQNY1x5g0CJoAnACeAGAAdYBiAGkC5IBBTAuOS4xmAEAoAEByAEIwAEB&sclient=gws-wiz,2,0,form_submit
31,32511,1/12/2022,19:35:23,random browser history csv file - Google Search,https://www.google.com/search?q=random+browser+history+csv+file&rlz=1C1CHWA_enIN911IN911&sxsrf=AOaemvK-OcPSB0XWaiveV1DJuEZS-brYPw%3A1641996286350&ei=_t_eYdHWFJeF4-EP5beB2AY&ved=0ahUKEwjRzfrqsKz1AhWXwjgGHeVbAGsQ4dUDCA4&uact=5&oq=random+browser+history+csv+file&gs_lcp=Cgdnd3Mtd2l6EAM6BwgAEEcQsAM6BwgjELACECdKBAhBGABKBAhGGABQoiBYsC5gtDFoAnACeACAAasBiAHQCJIBAzAuOJgBAKABAcgBCMABAQ&sclient=gws-wiz,2,0,link
32,32511,1/12/2022,19:35:22,random browser history csv file - Google Search,https://www.google.com/search?q=random+browser+history+csv+file&rlz=1C1CHWA_enIN911IN911&sxsrf=AOaemvK-OcPSB0XWaiveV1DJuEZS-brYPw%3A1641996286350&ei=_t_eYdHWFJeF4-EP5beB2AY&ved=0ahUKEwjRzfrqsKz1AhWXwjgGHeVbAGsQ4dUDCA4&uact=5&oq=random+browser+history+csv+file&gs_lcp=Cgdnd3Mtd2l6EAM6BwgAEEcQsAM6BwgjELACECdKBAhBGABKBAhGGABQoiBYsC5gtDFoAnACeACAAasBiAHQCJIBAzAuOJgBAKABAcgBCMABAQ&sclient=gws-wiz,2,0,form_submit
33,32509,1/12/2022,19:35:11,browser history csv file - Google Search,https://www.google.com/search?q=browser+history+csv+file&rlz=1C1CHWA_enIN911IN911&oq=browser+history+csv+&aqs=chrome.1.69i57j33i160l2.10679j0j7&sourceid=chrome&ie=UTF-8,3,0,generated
